Datetime,price,High,Low,Open,Volume,sma_14,ema_14,rsi_14,macd_diff,headline,label,confidence,sentiment_score,sentiment_smoothed
2024-05-07 18:30:00,182.63499450683594,182.77999877929688,182.1699981689453,182.3699951171875,4785926,182.02097102573939,181.75763870558595,63.15115592471433,-0.32910877306180986,"US STOCKS-Wall Street maintains upward momentum, despite Disney earnings drag",positive,0.9257,0.9256759881973267,0.9256759881973267
2024-05-07 19:30:00,182.3699951171875,182.67999267578125,182.22000122070312,182.6300048828125,5031993,181.94811357770647,181.83928622713282,61.49766508305668,-0.3420836433952603,"Apple Launches New iPad Pro, iPad Air Tablets",neutral,0.6588,0.0,0.46283799409866333
2024-05-08 13:30:00,181.91000366210938,182.9600067138672,181.4600067138672,182.7100067138672,10261929,181.89739990234375,181.84871521846304,58.62810123397434,-0.3800624228203824,Arm’s Pricey Valuation Ratchets Up Need to Deliver on Earnings,positive,0.4425,0.4424879550933838,0.45605464776357013
2024-05-08 14:30:00,182.28500366210938,182.3800048828125,181.7550048828125,181.88999938964844,4657669,181.917964390346,181.90688701094922,60.256243554516566,-0.37756881457235836,SPY: Growing Signs The Market Is Overbought,negative,0.7292,-0.729180097579956,-0.0955640474955241
2024-05-08 15:30:00,182.33999633789062,182.61000061035156,181.8509979248047,182.28500366210938,4579068,181.9708208356585,181.96463492120807,60.50172760452084,-0.3694001810096115,Apple ETFs in Focus Post New iPad Launch,neutral,0.8857,0.0,-0.0955640474955241
2024-05-08 16:30:00,182.3000030517578,182.49000549316406,182.02999877929688,182.33999633789062,3047249,182.09296417236328,182.00935067194806,60.21045929914967,-0.36332260924277904,Apple ETFs in Focus Post New iPad Launch,neutral,0.8857,0.0,-0.243060032526652
2024-05-08 17:30:00,182.68499755859375,182.72000122070312,182.2949981689453,182.30499267578125,3954343,182.2272502354213,182.09943692350083,62.10190948431193,-0.3309244570364003,It's time to be 'selective' with Big Tech: Nuveen CIO,neutral,0.9073,0.0,0.0
2024-05-08 18:30:00,182.89010620117188,182.99000549316406,182.61000061035156,182.69000244140625,4937356,182.3279288155692,182.204859493857,63.10807946780706,-0.29445309143298815,1 Wall Street Analyst Thinks Apple Stock Is Going to $210. Is It a Buy Around $182?,neutral,0.8762,0.0,0.0
2024-05-08 19:30:00,182.74000549316406,183.0500030517578,182.68499755859375,182.89500427246094,5220918,182.40221514020647,182.2762122937646,61.81469038629296,-0.2793381165980948,Apple’s iPad event was an AI teaser for its future,neutral,0.8171,0.0,0.0
2024-05-09 13:30:00,183.4199981689453,183.82989501953125,182.1199951171875,182.55999755859375,9634755,182.44365038190568,182.42871707712203,65.28572179730058,-0.224789977136036,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 14:30:00,183.63999938964844,183.86000061035156,183.11000061035156,183.4250030517578,5753829,182.54793657575334,182.5902213854589,66.35142065296617,-0.17722863585109572,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 15:30:00,183.60499572753906,183.83999633789062,183.43499755859375,183.64999389648438,4233577,182.69686453683036,182.7255246310696,66.00422747114402,-0.15240960438077455,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 16:30:00,184.3800048828125,184.5,183.53990173339844,183.60499572753906,6031102,182.82686505998885,182.94612199796865,69.77526996080265,-0.09110556876628051,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 17:30:00,184.25,184.64999389648438,184.05999755859375,184.38999938964844,4829910,182.9607216971261,183.1199723982395,68.40451819489475,-0.06769533184609577,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 18:30:00,184.31500244140625,184.61500549316406,184.22000122070312,184.24000549316406,4012982,183.08072226388114,183.2793097373284,68.73524319943041,-0.05666419391193345,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-09 19:30:00,184.64999389648438,184.64999389648438,184.3000030517578,184.30999755859375,5820164,183.2435793195452,183.46206762521587,70.45181361237559,-0.03661108860892903,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-10 13:30:00,183.2050018310547,185.08999633789062,183.14999389648438,184.9199981689453,12508339,183.33607918875558,183.42779218599438,56.13472839202677,-0.1254653516960107,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-10 14:30:00,182.69000244140625,183.3997039794922,182.25999450683594,183.2100067138672,7423228,183.36500767299108,183.32942022004931,52.07308599400829,-0.2182868352564722,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-10 15:30:00,182.48880004882812,182.73500061035156,182.2449951171875,182.6999969482422,3801053,183.3756365094866,183.21733753055315,50.53468094657187,-0.28820572908490005,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
2024-05-10 16:30:00,182.39500427246094,182.58999633789062,182.2100067138672,182.48500061035156,2997546,183.3824223109654,183.10769309614085,49.79611770301079,-0.3325931409364383,Analysts recharge Rivian price target after earnings,neutral,0.9014,0.0,0.0
